,id,age,income,profile_age,gender_M,gender_F,total_spending,total_no_offer_spending,total_offer_spending,days_without_offer,days_with_offer,average_no_offer_spending_rate,average_offer_spending_rate
0,78afa995795e4d85b5d9ceeca43f5fef,75,100000.0,443,0,1,159.27,23.93,135.34,13.25,16.75,1.8060377358490567,8.08
1,e2127556f4f64592b11af22de27a7932,68,70000.0,91,1,0,57.730000000000004,39.31,18.42,11.25,18.75,3.4942222222222226,0.9824
2,389bc3fa690240e798340f5a15918d5c,65,53000.0,167,1,0,36.43,0.0,36.43,3.75,26.25,0.0,1.3878095238095238
3,2eeac8d8feae4a8cad5a6af0499a211d,58,51000.0,257,1,0,15.62,0.0,15.62,13.25,16.75,0.0,0.9325373134328357
4,aa4862eba776480b8bb9c68455b8c2e1,61,57000.0,318,0,1,85.55,15.95,69.6,6.0,24.0,2.658333333333333,2.9
5,e12aeaf2d47d42479ea1c4ac3d8286c6,26,46000.0,1624,1,0,56.22,28.249999999999996,27.970000000000002,23.0,7.0,1.2282608695652173,3.995714285714286
6,31dda685af34476cad5bc968bdb01c53,62,71000.0,896,0,1,160.25,0.0,160.25,6.5,23.5,0.0,6.819148936170213
7,62cf5e10845442329191fc246e7bcea3,49,52000.0,1351,1,0,144.10999999999999,9.38,134.73,23.0,7.0,0.4078260869565218,19.247142857142855
8,6445de3b47274c759400cd68131d91b4,57,42000.0,207,1,0,19.1,4.33,14.770000000000001,22.75,7.25,0.19032967032967033,2.037241379310345
9,a448667f336b42c9a66fc5ffd5d73772,61,40000.0,86,0,1,20.78,15.040000000000001,5.74,22.75,7.25,0.6610989010989011,0.7917241379310345
10,440cf1fd7580490c971d8c651ed962af,40,71000.0,813,0,1,300.68,0.0,300.68,7.0,23.0,0.0,13.07304347826087
11,4b0da7e80e5945209a1fdddfe813dbe0,64,100000.0,320,1,0,211.29000000000002,40.96,170.33,9.0,21.0,4.551111111111111,8.110952380952382
12,c27e0d6ab72c455a8bb66d980963de60,78,71000.0,405,0,1,155.46,20.2,135.26000000000002,12.0,18.0,1.6833333333333333,7.514444444444446
13,f806632c011441378d4646567f357a21,42,69000.0,1810,1,0,91.4,0.0,91.4,7.5,22.5,0.0,4.062222222222222
14,d058f73bf8674a26a95227db098147b1,56,88000.0,89,0,1,75.62,0.0,75.62,2.25,27.75,0.0,2.725045045045045
15,c6c9884912c645429f3333f912b55f44,33,52000.0,303,0,1,17.9,2.6799999999999997,15.219999999999999,9.5,20.5,0.2821052631578947,0.7424390243902439
16,7429a044884842d6862f516c38b1156f,46,59000.0,318,0,1,2.88,0.0,2.88,25.75,4.25,0.0,0.6776470588235294
17,ebe7ef46ea6f4963a7dd49f501b26779,59,41000.0,1282,1,0,52.08,2.91,49.17,18.75,11.25,0.1552,4.370666666666667
18,5917d13f6fa04286abdf95f4d5cefb1e,67,96000.0,1433,1,0,206.88,24.72,182.16,15.25,14.75,1.620983606557377,12.349830508474575
19,d1ede868e29245ea91818a903fec04c6,53,52000.0,313,0,0,18.740000000000002,11.440000000000001,7.300000000000001,19.0,11.0,0.6021052631578948,0.6636363636363637
20,1e9420836d554513ab90eba98552d0a9,22,70000.0,304,1,0,106.38,0.0,106.38,7.0,23.0,0.0,4.625217391304347
21,868317b9be554cb18e50bc68484749a2,96,89000.0,251,0,1,81.92,59.87,22.050000000000004,23.5,6.5,2.547659574468085,3.392307692307693
22,f082d80f0aac47a99173ba8ef8fc1909,40,33000.0,747,1,0,40.94,16.08,24.86,16.25,13.75,0.9895384615384615,1.808
23,102e9454054946fda62242d2e176fdce,69,57000.0,711,0,1,213.49,18.29,195.20000000000002,5.75,24.25,3.180869565217391,8.049484536082474
24,8dabe2142cdf4013a6f4786edf8ab00f,56,68000.0,1537,1,0,167.67000000000002,34.71,132.96,16.25,13.75,2.136,9.669818181818183
25,9f30b375d7bd4c62a884ffe7034e09ee,26,63000.0,348,0,1,73.38,12.28,61.099999999999994,12.5,17.5,0.9823999999999999,3.491428571428571
26,6e014185620b49bd98749f728747572f,75,40000.0,987,1,0,155.53,6.18,149.35,17.75,12.25,0.348169014084507,12.191836734693878
27,02c083884c7d45b39cc68e1314fec56c,20,30000.0,745,0,1,29.89,4.4,25.490000000000002,22.75,7.25,0.1934065934065934,3.5158620689655176
28,c0d210398dee4a0895b24444a5fcd1d2,45,33000.0,19,1,0,61.25,7.2,54.05,9.75,20.25,0.7384615384615385,2.669135802469136
29,8b70ca1f5f5a45bdac2ac2f990b71526,61,98000.0,247,1,0,234.43,123.26999999999998,111.16000000000003,15.5,14.5,7.95290322580645,7.666206896551726
30,8e7c7465e98c43d8a01f51e2b5c29542,69,37000.0,1772,0,1,32.72,0.8200000000000001,31.9,12.25,17.75,0.0669387755102041,1.7971830985915491
31,57dd18ec5ddc46828afb81ec5977bef2,54,80000.0,534,0,1,249.4,29.86,219.54000000000002,15.25,14.75,1.9580327868852458,14.884067796610172
32,be8a5d1981a2458d90b255ddc7e0d174,39,51000.0,1521,1,0,51.91,8.48,43.42999999999999,19.5,10.5,0.4348717948717949,4.1361904761904755
33,3f89b8f80ebc4f94b7074f28071aa8d4,41,41000.0,1039,0,1,62.510000000000005,19.68,42.830000000000005,19.0,11.0,1.0357894736842106,3.893636363636364
34,a3b9b4bf115e4564933ea2e4bc936843,79,48000.0,1198,0,1,152.0,6.8,145.2,17.25,12.75,0.3942028985507246,11.388235294117646
35,7584948ea6d04f94b8798624706261c2,66,38000.0,109,0,1,56.08,16.99,39.09,9.75,20.25,1.7425641025641023,1.9303703703703705
36,e9844d5beac04bf8b8d3ad18f7e37fca,56,52000.0,395,0,1,87.11,72.92999999999999,14.180000000000007,26.5,3.5,2.752075471698113,4.051428571428573
37,f247806381704ea58c1b06f60602a6ae,39,56000.0,1464,0,1,150.23000000000002,5.41,144.82000000000002,13.25,16.75,0.40830188679245283,8.645970149253733
38,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,42,96000.0,921,1,0,320.48,31.09,289.39000000000004,10.0,20.0,3.109,14.469500000000002
39,fe8264108d5b4f198453bbb1fa7ca6c9,78,93000.0,655,0,1,225.54999999999998,37.66,187.89,6.75,23.25,5.579259259259259,8.081290322580644
40,186d6403f5824c739555b732f4af3f16,45,48000.0,293,1,0,17.0,13.68,3.3200000000000003,17.75,12.25,0.7707042253521127,0.27102040816326534
41,8a87fda1a6644337b4394a4c3cd0946c,29,50000.0,817,1,0,38.17,30.0,8.170000000000002,22.0,8.0,1.3636363636363635,1.0212500000000002
42,b7a66e629b134079a9bc7120c7b9947b,44,35000.0,305,1,0,150.23,21.25,128.98,14.0,16.0,1.5178571428571428,8.06125
43,ca82e1ebc759402c8ab95c341755bdf1,63,56000.0,13,1,0,121.62,7.71,113.91000000000001,8.0,22.0,0.96375,5.177727272727274
44,54890f68699049c2a04d415abc25e717,36,56000.0,210,1,0,118.85000000000001,90.01,28.840000000000003,23.0,7.0,3.9134782608695655,4.12
45,ab66a363907e43e9a7cd535f1578245b,76,47000.0,134,0,1,22.65,0.47000000000000003,22.18,13.5,16.5,0.03481481481481482,1.3442424242424242
46,d3f146b615514c6380b168bb3df5f05b,68,87000.0,337,1,0,177.18,39.54,137.64000000000001,10.75,19.25,3.6781395348837207,7.150129870129871
47,a5a6ef2b78a04ddc9f374dd7c7f60bff,75,52000.0,970,1,0,135.54,29.03,106.50999999999999,16.25,13.75,1.7864615384615385,7.746181818181817
48,2e87ba0fba1a4d1a8614af771f07a94d,67,76000.0,515,1,0,200.78,14.62,186.16,7.0,23.0,2.0885714285714285,8.093913043478262
49,d8af520c4a8a4c77b921098d7d838c4d,77,51000.0,726,1,0,23.81,7.58,16.229999999999997,21.25,8.75,0.3567058823529412,1.8548571428571425
50,39dbcf43e24d41f4bbf0f134157e0e1e,76,64000.0,1425,1,0,110.92,76.27000000000001,34.64999999999999,22.25,7.75,3.427865168539326,4.470967741935483
51,8c7df0c393db488aac3e58b06a7ea5f9,53,72000.0,750,0,1,167.88,22.03,145.85,11.75,18.25,1.8748936170212767,7.991780821917808
52,3a1242dda16248728e350c4bdeb21972,53,117000.0,572,0,1,303.2,31.41,271.78999999999996,18.0,12.0,1.745,22.649166666666662
53,8045834137dc47faa24f2c4547969f33,53,55000.0,273,0,1,20.18,4.83,15.35,14.5,15.5,0.3331034482758621,0.9903225806451613
54,fb98ebe9e3e14afaa5b5db182b00b7ec,61,112000.0,258,0,1,67.25,33.87,33.38,12.5,17.5,2.7096,1.9074285714285715
55,5cd6577aca5d4b419e452f9f505ffce7,67,77000.0,684,0,1,155.73,48.64,107.08999999999999,16.5,13.5,2.9478787878787878,7.9325925925925915
56,99e9a1916821461ebd5d5048dc2dff7d,58,85000.0,182,0,1,290.42,40.03,250.39000000000001,6.0,24.0,6.671666666666667,10.432916666666667
